k,label_free_Silhouette,label_free_RI,label_free_ARI,label_free_NMI,label_free_AMI,label_free_Inertia
10,0.0645359456539154,0.8855030085080484,0.09460589171927299,0.294239241224225,0.29376919139492375,1613553.5
20,0.07884348183870316,0.9378230982174983,0.18397493104994272,0.38086153762175445,0.3800701479874075,1428057.25
30,0.08784797042608261,0.9553231564776711,0.2090922944256457,0.41636904908328126,0.4152908646669251,1317417.875
40,0.08975367248058319,0.9615243265365265,0.20259206303064514,0.4460663886686177,0.44473385020105705,1234469.625
50,0.09965254366397858,0.9671467508368097,0.24424195666292997,0.4725672279319966,0.47100383119255246,1187349.625
60,0.11365529894828796,0.9699236565090958,0.2387201898000036,0.48840100823631316,0.48661205173425254,1117746.0
70,0.10816950350999832,0.9715462494228541,0.23570807100727917,0.49899471214242797,0.49697772202784174,1087346.75
80,0.10759887844324112,0.972586958021215,0.2310840679387093,0.5169158932745642,0.5147092618611586,1057973.0
90,0.09975685179233551,0.9733299553898035,0.21605609316777855,0.5019980482820556,0.499458594043347,1040971.8125
100,0.10864345729351044,0.9753324873980735,0.2419351660554775,0.523494699505097,0.5208232974032035,1021552.875
110,0.10911162197589874,0.9760287409988357,0.2289210888476342,0.5281987564705126,0.5253189119417819,993422.5
120,0.09740297496318817,0.9761409962568363,0.20822199806894728,0.5285177831993307,0.5253970089479295,983325.875
130,0.10636945813894272,0.9767771305721433,0.23327546830114693,0.5377673052168345,0.5344592563730166,971895.8125
140,0.10069645196199417,0.9776431745334425,0.22864921658066242,0.542384983534138,0.5388860426490365,952259.4375
150,0.1068297028541565,0.9778455113843384,0.2243018542725988,0.5465073301746157,0.5428078420573815,934473.5
160,0.10657810419797897,0.9785443508699927,0.2376782918934398,0.5541387381723056,0.5502756518396712,928684.9375
170,0.10344307869672775,0.9778970383437536,0.21741035163915778,0.5536578196767028,0.5495520729731597,912885.5625
180,0.10718564689159393,0.978403952773094,0.2114322696348245,0.5639160017109799,0.5596978763079629,896427.5
190,0.1138312891125679,0.9788781849063144,0.22160224151319136,0.56666528265967,0.562251164142081,888396.1875
200,0.1070411279797554,0.9788939776373758,0.20659071601553503,0.5681598818320251,0.5635532528549989,874066.1875
